Total covariance matrix for HypLLBarDPhi in combinedUnfolded channel
Bin 1 2 3 4 5 6 7 8 9 10
1 0.00377761 0.0034233 0.00351955 0.00338906 0.00329671 0.00326447 0.00332463 0.00332347 0.0033603 0.00346225
2 0.0034233 0.00335368 0.0033152 0.00316504 0.00309112 0.00304691 0.003168 0.00316944 0.00317338 0.00324425
3 0.00351955 0.0033152 0.00359162 0.00333265 0.0032288 0.00317668 0.00329192 0.00329494 0.00329801 0.00339926
4 0.00338906 0.00316504 0.00333265 0.00331688 0.00316125 0.00313995 0.00323011 0.00315679 0.00319226 0.00328203
5 0.00329671 0.00309112 0.0032288 0.00316125 0.00317861 0.0030818 0.00316953 0.00310113 0.00315293 0.00320737
6 0.00326447 0.00304691 0.00317668 0.00313995 0.0030818 0.00313591 0.00316959 0.00307661 0.00312362 0.00318229
7 0.00332463 0.003168 0.00329192 0.00323011 0.00316953 0.00316959 0.00338343 0.00322873 0.00324459 0.0032896
8 0.00332347 0.00316944 0.00329494 0.00315679 0.00310113 0.00307661 0.00322873 0.0032984 0.00322961 0.00329925
9 0.0033603 0.00317338 0.00329801 0.00319226 0.00315293 0.00312362 0.00324459 0.00322961 0.00334026 0.00336071
10 0.00346225 0.00324425 0.00339926 0.00328203 0.00320737 0.00318229 0.0032896 0.00329925 0.00336071 0.00351573
